id;create_time_stamp;update_time_stamp;name;city;country;archived;center_type;latitude;longitude
1;2024-03-12T02:11:22;2024-03-11T22:55:03;Designer context-sensitive;Methuen Town;Venezuela;false;SCHOOL;5679;11421
2;2024-03-11T20:29:48;2024-03-12T05:36:38;iterate transmitting Direct;Hallieside;Uzbekistan;true;CHARITY;33802;5626
3;2024-03-12T08:09:28;2024-03-12T00:54:40;product;Lake Giles;Antarctica (the territory South of 60 deg S);true;HOME;98337;9748
4;2024-03-12T13:45:53;2024-03-12T18:24:54;digital connecting;South Ileneview;Saint Vincent and the Grenadines;true;OTHER;42728;57995
5;2024-03-12T05:14:02;2024-03-11T23:58:45;Future Village;McLaughlinmouth;Lesotho;true;LIBRARY;95021;21419
6;2024-03-12T16:12:44;2024-03-12T15:03:49;Auto Wooden;Quigleytown;French Southern Territories;true;MOSQUE;62748;84385
7;2024-03-12T14:28:24;2024-03-12T18:55:58;protocol Handcrafted;Lake Cleo;Guinea-Bissau;false;OTHER;41071;50412
8;2024-03-12T11:29:44;2024-03-12T10:06:57;card Japan sticky;South Budmouth;Saint Vincent and the Grenadines;true;CHARITY;45462;57041
9;2024-03-12T12:45:01;2024-03-11T20:49:06;blue Plaza Virginia;Hayesland;Switzerland;false;CHARITY;55029;67013
10;2024-03-12T03:07:17;2024-03-12T03:51:25;Bedfordshire;Schneidershire;Saint Helena;true;LIBRARY;93291;93407
