id;name;checksum;path;size
1;bypass Right-sized;quantify Avon Profit-focused;Object-based sticky;panel
2;Electronics Tunisian Cambridgeshire;cyan Mississippi;Shoes;generate
3;utilisation Home;Unbranded Mozambique teal;connecting 5th;overriding
4;Cheese interactive Usability;Loan;Personal logistical Rustic;Pants
5;cross-platform;Germany dedicated Intelligent;Jewelery e-commerce back-end;Branding magnetic
6;panel;Intelligent;mission-critical plum;protocol
7;Music IB;Mouse;24/365 Solutions;mint Generic
8;haptic;Tunisia auxiliary Berkshire;invoice Passage;Avon
9;Alabama;synthesizing Security;Compatible Toys Dollar;Bulgaria
10;orange world-class Market;parse;IB Internal;Account Cambridgeshire Internal
