id;create_time_stamp;update_time_stamp;identifier;tag;name;android_id;model;description;archived
1;2024-03-12T07:07:19;2024-03-12T02:58:29;2024-03-12T18:16:14;2024-03-12T18:27:05;Timor-Leste Automotive;bandwidth;envisioneer CSS;Real Granite;false
2;2024-03-12T12:21:13;2024-03-12T15:52:06;2024-03-12T00:07:02;2024-03-12T02:41:32;Ergonomic Savings;end-to-end communities user-centric;infomediaries;internet Music;false
3;2024-03-12T05:19:02;2024-03-11T22:22:22;2024-03-12T04:35:53;2024-03-12T05:16:34;Shirt;vortals Fresh;networks Chief;Mouse;true
4;2024-03-12T13:47:50;2024-03-11T22:04:53;2024-03-12T00:43:24;2024-03-11T22:08:58;systematic invoice;XSS firewall;Accounts calculating maximize;reinvent;true
5;2024-03-12T03:17:38;2024-03-12T11:13:25;2024-03-12T09:59:03;2024-03-12T02:05:11;Reduced Branding SCSI;Money Cloned Customer-focused;Lek;Generic;false
6;2024-03-12T13:24:33;2024-03-12T04:44:53;2024-03-12T10:09:25;2024-03-12T19:17:43;Shirt synergize;payment;markets facilitate bandwidth;Money Interactions;true
7;2024-03-11T22:05:49;2024-03-12T04:08:28;2024-03-12T19:02:08;2024-03-12T01:52:40;Tasty;Via Fresh;support;Planner;true
8;2024-03-12T04:25:59;2024-03-12T08:29:24;2024-03-11T20:53:12;2024-03-11T21:38:15;synthesizing PNG;Marketing;Incredible;installation;true
9;2024-03-12T16:49:46;2024-03-11T21:57:00;2024-03-12T20:22:27;2024-03-12T18:26:56;Bacon content-based;24/7 non-volatile interactive;models;engage;false
10;2024-03-12T01:15:31;2024-03-11T20:54:47;2024-03-11T22:07:37;2024-03-12T00:30:53;optimal Bedfordshire Generic;Corporate Hat Profound;system orchid;Mouse cutting-edge;true
