id;create_time_stamp;delete_time_stamp;is_public;name;path;update_time_stamp
1;2024-03-12T08:38:17;2024-03-12T14:51:18;false;actuating;vortals open-source;2024-03-12T17:30:44
2;2024-03-12T13:38:09;2024-03-12T13:59:05;true;deposit productize;Montenegro;2024-03-12T14:04:59
3;2024-03-11T21:05:03;2024-03-12T01:30:30;true;Jewelery Kids experiences;De-engineered Account;2024-03-12T14:20:06
4;2024-03-11T23:55:33;2024-03-11T21:12:18;true;Universal Ergonomic;PCI deposit;2024-03-12T01:52:37
5;2024-03-12T08:57:56;2024-03-12T16:21:13;true;bluetooth;Metrics markets bricks-and-clicks;2024-03-12T01:13:44
6;2024-03-12T15:57:01;2024-03-12T01:13:42;false;Israeli PCI grey;Security;2024-03-12T06:24:58
7;2024-03-12T18:57:50;2024-03-11T23:24:58;false;HTTP Auto;generate;2024-03-12T02:46:20
8;2024-03-12T16:23:22;2024-03-12T06:19:00;true;Fresh Table plum;transmitting;2024-03-11T21:51:41
9;2024-03-12T04:15:39;2024-03-11T21:15:56;true;24/7 indexing;Fantastic maroon Networked;2024-03-12T06:08:55
10;2024-03-12T02:44:45;2024-03-12T07:08:29;false;bandwidth synergies Sweden;Kansas Directives Fork;2024-03-12T15:57:42
